File,Line,Index,Context
./wiki/Kings_XI_Punjab_in_2014.html,269,508,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,277,449,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,277,472,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,293,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,293,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,301,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,301,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,317,485,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,317,508,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,325,451,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,325,474,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,341,449,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,341,472,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,374,459,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,374,482,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,376,498,"Flag_of_Sri_Lanka.svg.png 2x"" data-file-width=""1200"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,376,521,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,381,465,"-Flag_of_Barbados.svg.png 2x"" data-file-width=""1500"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,381,488,"ng 2x"" data-file-width=""1500"" data-file-height=""1000"" /></a></spa"
./wiki/Kings_XI_Punjab_in_2014.html,383,525,"g_of_South_Africa.svg.png 2x"" data-file-width=""900"" data-file-hei"
./wiki/Kings_XI_Punjab_in_2014.html,383,547,"png 2x"" data-file-width=""900"" data-file-height=""600"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,388,492,"ag_of_New_Zealand.svg.png 2x"" data-file-width=""1200"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,388,515,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,390,446,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,390,469,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,395,501,"g_of_South_Africa.svg.png 2x"" data-file-width=""900"" data-file-hei"
./wiki/Kings_XI_Punjab_in_2014.html,395,523,"png 2x"" data-file-width=""900"" data-file-height=""600"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,397,447,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,397,470,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,402,423,"5px-Flag_of_India.svg.png 2x"" data-file-width=""1350"" data-file-he"
./wiki/Kings_XI_Punjab_in_2014.html,402,446,"ng 2x"" data-file-width=""1350"" data-file-height=""900"" /></a></span"
./wiki/Kings_XI_Punjab_in_2014.html,564,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Kings_XI_Punjab_in_2014.html,647,1043,"ase""><a href=""https://www.wikidata.org/wiki/Q24907011"" title=""Lin"
./wiki/Kings_XI_Punjab_in_2014.html,647,1093,"011"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Kings_XI_Punjab_in_2014.html,647,1137,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Kings_XI_Punjab_in_2014.html,664,124,"ink""><a href=""https://www.wikidata.org/wiki/Q24907011#sitelinks-w"
./wiki/William_Harvey_Lillard.html,45,226,"ight=""250"" class=""thumbimage"" data-file-width=""220"" data-file-hei"
./wiki/William_Harvey_Lillard.html,45,248,"bimage"" data-file-width=""220"" data-file-height=""250"" /></a>
"
./wiki/William_Harvey_Lillard.html,65,176,"=""external text"" href=""http://data.memberclicks.com/site/ahc/Chir"
./wiki/William_Harvey_Lillard.html,81,178,"=""external text"" href=""http://data.memberclicks.com/site/ahc/Chir"
./wiki/William_Harvey_Lillard.html,129,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/William_Harvey_Lillard.html,212,1039,"ase""><a href=""https://www.wikidata.org/wiki/Q8010993"" title=""Link"
./wiki/William_Harvey_Lillard.html,212,1088,"993"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/William_Harvey_Lillard.html,212,1132,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/William_Harvey_Lillard.html,229,124,"ink""><a href=""https://www.wikidata.org/wiki/Q8010993#sitelinks-wi"
./wiki/Radial_Road_3.html,52,1061,"pines--2015-0428--ls-.jpg 2x"" data-file-width=""3648"" data-file-he"
./wiki/Radial_Road_3.html,52,1084,"pg 2x"" data-file-width=""3648"" data-file-height=""2736"" /></a>
"
./wiki/Radial_Road_3.html,103,453,"pg/440px-STAR_tollway.jpg 2x"" data-file-width=""2048"" data-file-he"
./wiki/Radial_Road_3.html,103,476,"pg 2x"" data-file-width=""2048"" data-file-height=""1536"" /></a>
"
./wiki/Radial_Road_3.html,301,441,"x-Autoroute_icone.svg.png 2x"" data-file-width=""128"" data-file-hei"
./wiki/Radial_Road_3.html,301,463,"png 2x"" data-file-width=""128"" data-file-height=""128"" /></a></div>"
./wiki/Radial_Road_3.html,505,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Radial_Road_3.html,588,1003,"ase""><a href=""https://www.wikidata.org/wiki/Q25339476"" title=""Lin"
./wiki/Radial_Road_3.html,588,1053,"476"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Radial_Road_3.html,588,1097,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Radial_Road_3.html,605,125,"ink""><a href=""https://www.wikidata.org/wiki/Q25339476#sitelinks-w"
./wiki/George_Weldrick.html,194,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/George_Weldrick.html,277,1011,"ase""><a href=""https://www.wikidata.org/wiki/Q5546140"" title=""Link"
./wiki/George_Weldrick.html,277,1060,"140"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/George_Weldrick.html,277,1104,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/George_Weldrick.html,294,124,"ink""><a href=""https://www.wikidata.org/wiki/Q5546140#sitelinks-wi"
./wiki/Zgornji_Otok.html,6,496,"al links"",""Coordinates on Wikidata"",""Pages using deprecated coord"
./wiki/Zgornji_Otok.html,53,586,"enia_location_map.svg.png 2x"" data-file-width=""1159"" data-file-he"
./wiki/Zgornji_Otok.html,53,609,"ng 2x"" data-file-width=""1159"" data-file-height=""857"" /></a>
"
./wiki/Zgornji_Otok.html,55,392,".svg/12px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-heig"
./wiki/Zgornji_Otok.html,55,413,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>
"
./wiki/Zgornji_Otok.html,65,370,"aps, aerial photos, and other data for this location""><span class"
./wiki/Zgornji_Otok.html,65,626,"aps, aerial photos, and other data for this location"">46.3500306°"
./wiki/Zgornji_Otok.html,65,1221,"aps, aerial photos, and other data for this location""><span class"
./wiki/Zgornji_Otok.html,65,1477,"aps, aerial photos, and other data for this location"">46.3500306°"
./wiki/Zgornji_Otok.html,69,448,"-Flag_of_Slovenia.svg.png 2x"" data-file-width=""1200"" data-file-he"
./wiki/Zgornji_Otok.html,69,471,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" /></a> <a hr"
./wiki/Zgornji_Otok.html,211,508,"a/Karte_Radovljica_si.png 2x"" data-file-width=""300"" data-file-hei"
./wiki/Zgornji_Otok.html,211,530,"png 2x"" data-file-width=""300"" data-file-height=""201"" /></a></div>"
./wiki/Zgornji_Otok.html,260,18,"<table class=""metadata plainlinks stub"" role=""present"
./wiki/Zgornji_Otok.html,262,465,"g-map_of_Slovenia.svg.png 2x"" data-file-width=""620"" data-file-hei"
./wiki/Zgornji_Otok.html,262,487,"png 2x"" data-file-width=""620"" data-file-height=""374"" /></a></td>
"
./wiki/Zgornji_Otok.html,311,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Zgornji_Otok.html,311,1091,"i/Category:Coordinates_on_Wikidata"" title=""Category:Coordinates o"
./wiki/Zgornji_Otok.html,311,1132,"=""Category:Coordinates on Wikidata"">Coordinates on Wikidata</a></"
./wiki/Zgornji_Otok.html,311,1157," Wikidata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Cat"
./wiki/Zgornji_Otok.html,394,999,"ase""><a href=""https://www.wikidata.org/wiki/Q2136008"" title=""Link"
./wiki/Zgornji_Otok.html,394,1048,"008"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Zgornji_Otok.html,394,1092,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Zgornji_Otok.html,411,125,"ink""><a href=""https://www.wikidata.org/wiki/Q2136008#sitelinks-wi"
./wiki/Blue_Heelers_(season_8).html,49,406,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Blue_Heelers_(season_8).html,49,429,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</sp"
./wiki/Blue_Heelers_(season_8).html,79,29,"<table class=""plainlinks metadata ambox ambox-content ambox-lead"
./wiki/Blue_Heelers_(season_8).html,82,429,"0px-Wiki_letter_w.svg.png 2x"" data-file-width=""44"" data-file-heig"
./wiki/Blue_Heelers_(season_8).html,82,450,".png 2x"" data-file-width=""44"" data-file-height=""44"" /></a></div>
"
./wiki/Blue_Heelers_(season_8).html,105,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-co"
./wiki/Blue_Heelers_(season_8).html,107,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-heig"
./wiki/Blue_Heelers_(season_8).html,107,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>
"
./wiki/Blue_Heelers_(season_8).html,125,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-co"
./wiki/Blue_Heelers_(season_8).html,127,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-heig"
./wiki/Blue_Heelers_(season_8).html,127,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>
"
./wiki/Blue_Heelers_(season_8).html,133,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-co"
./wiki/Blue_Heelers_(season_8).html,135,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-heig"
./wiki/Blue_Heelers_(season_8).html,135,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>
"
./wiki/Blue_Heelers_(season_8).html,141,29,"<table class=""plainlinks metadata ambox mbox-small-left ambox-co"
./wiki/Blue_Heelers_(season_8).html,143,488,"_letter_w_cropped.svg.png 2x"" data-file-width=""44"" data-file-heig"
./wiki/Blue_Heelers_(season_8).html,143,509,".png 2x"" data-file-width=""44"" data-file-height=""31"" /></a></td>
"
./wiki/Blue_Heelers_(season_8).html,660,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Blue_Heelers_(season_8).html,660,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</sp"
./wiki/Blue_Heelers_(season_8).html,695,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Blue_Heelers_(season_8).html,695,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</sp"
./wiki/Blue_Heelers_(season_8).html,730,421,"Flag_of_Australia.svg.png 2x"" data-file-width=""1280"" data-file-he"
./wiki/Blue_Heelers_(season_8).html,730,444,"ng 2x"" data-file-width=""1280"" data-file-height=""640"" />&#160;</sp"
./wiki/Blue_Heelers_(season_8).html,739,450,"px-Wikiquote-logo.svg.png 2x"" data-file-width=""300"" data-file-hei"
./wiki/Blue_Heelers_(season_8).html,739,472,"png 2x"" data-file-width=""300"" data-file-height=""355"" /></a></td>
"
./wiki/Blue_Heelers_(season_8).html,886,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Blue_Heelers_(season_8).html,969,1043,"ase""><a href=""https://www.wikidata.org/wiki/Q4929206"" title=""Link"
./wiki/Blue_Heelers_(season_8).html,969,1092,"206"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Blue_Heelers_(season_8).html,969,1136,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Blue_Heelers_(season_8).html,986,124,"ink""><a href=""https://www.wikidata.org/wiki/Q4929206#sitelinks-wi"
./wiki/Taggen_Nunatak.html,6,506,"n System"",""Coordinates on Wikidata"",""All stub articles"",""Nunataks"
./wiki/Taggen_Nunatak.html,44,302,".svg/24px-PD-icon.svg.png 2x"" data-file-width=""196"" data-file-hei"
./wiki/Taggen_Nunatak.html,44,324,"png 2x"" data-file-width=""196"" data-file-height=""196"" />&#160;This"
./wiki/Taggen_Nunatak.html,44,1395,"aps, aerial photos, and other data for this location""><span class"
./wiki/Taggen_Nunatak.html,44,1640,"aps, aerial photos, and other data for this location"">72.167°S 21"
./wiki/Taggen_Nunatak.html,46,18,"<table class=""metadata plainlinks stub"" role=""present"
./wiki/Taggen_Nunatak.html,48,481,"en_Maud_Land_stub_map.png 2x"" data-file-width=""291"" data-file-hei"
./wiki/Taggen_Nunatak.html,48,503,"png 2x"" data-file-width=""291"" data-file-height=""281"" /></a></td>
"
./wiki/Taggen_Nunatak.html,93,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Taggen_Nunatak.html,93,1079,"i/Category:Coordinates_on_Wikidata"" title=""Category:Coordinates o"
./wiki/Taggen_Nunatak.html,93,1120,"=""Category:Coordinates on Wikidata"">Coordinates on Wikidata</a></"
./wiki/Taggen_Nunatak.html,93,1145," Wikidata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Cat"
./wiki/Taggen_Nunatak.html,176,1007,"ase""><a href=""https://www.wikidata.org/wiki/Q7675227"" title=""Link"
./wiki/Taggen_Nunatak.html,176,1056,"227"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Taggen_Nunatak.html,176,1100,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Taggen_Nunatak.html,193,125,"ink""><a href=""https://www.wikidata.org/wiki/Q7675227#sitelinks-wi"
./wiki/Henri_BraqueniC3A9.html,43,102,"><table class=""plainlinks metadata ambox ambox-style ambox-No_foo"
./wiki/Henri_BraqueniC3A9.html,46,512,"red_question_mark.svg.png 2x"" data-file-width=""48"" data-file-heig"
./wiki/Henri_BraqueniC3A9.html,46,533,".png 2x"" data-file-width=""48"" data-file-height=""48"" /></div>
"
./wiki/Henri_BraqueniC3A9.html,92,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Henri_BraqueniC3A9.html,175,1031,"ase""><a href=""https://www.wikidata.org/wiki/Q5715343"" title=""Link"
./wiki/Henri_BraqueniC3A9.html,175,1080,"343"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Henri_BraqueniC3A9.html,175,1124,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Henri_BraqueniC3A9.html,192,125,"ink""><a href=""https://www.wikidata.org/wiki/Q5715343#sitelinks-wi"
./wiki/Vrila.html,6,539,"age text"",""Coordinates on Wikidata"",""All stub articles"",""Populate"
./wiki/Vrila.html,57,698,"vina_location_map.svg.png 2x"" data-file-width=""1063"" data-file-he"
./wiki/Vrila.html,57,721,"ng 2x"" data-file-width=""1063"" data-file-height=""1014"" /></a>
"
./wiki/Vrila.html,59,378,".svg/12px-Red_pog.svg.png 2x"" data-file-width=""64"" data-file-heig"
./wiki/Vrila.html,59,399,".png 2x"" data-file-width=""64"" data-file-height=""64"" /></div>
"
./wiki/Vrila.html,69,348,"aps, aerial photos, and other data for this location""><span class"
./wiki/Vrila.html,69,593,"aps, aerial photos, and other data for this location"">43.967°N 17"
./wiki/Vrila.html,73,499,"a_and_Herzegovina.svg.png 2x"" data-file-width=""800"" data-file-hei"
./wiki/Vrila.html,73,521,"png 2x"" data-file-width=""800"" data-file-height=""400"" />&#160;</sp"
./wiki/Vrila.html,99,435,"aps, aerial photos, and other data for this location""><span class"
./wiki/Vrila.html,99,680,"aps, aerial photos, and other data for this location"">43.967°N 17"
./wiki/Vrila.html,100,18,"<table class=""metadata plainlinks stub"" role=""present"
./wiki/Vrila.html,102,649,"ivision_map_Canton_10.png 2x"" data-file-width=""1600"" data-file-he"
./wiki/Vrila.html,102,672,"ng 2x"" data-file-width=""1600"" data-file-height=""1520"" /></a></td>"
./wiki/Vrila.html,151,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Vrila.html,151,1181,"i/Category:Coordinates_on_Wikidata"" title=""Category:Coordinates o"
./wiki/Vrila.html,151,1222,"=""Category:Coordinates on Wikidata"">Coordinates on Wikidata</a></"
./wiki/Vrila.html,151,1247," Wikidata"">Coordinates on Wikidata</a></li><li><a href=""/wiki/Cat"
./wiki/Vrila.html,234,971,"ase""><a href=""https://www.wikidata.org/wiki/Q3038859"" title=""Link"
./wiki/Vrila.html,234,1020,"859"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Vrila.html,234,1064,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Vrila.html,251,125,"ink""><a href=""https://www.wikidata.org/wiki/Q3038859#sitelinks-wi"
./wiki/William_Henry_Porter.html,48,315,".svg/24px-PD-icon.svg.png 2x"" data-file-width=""196"" data-file-hei"
./wiki/William_Henry_Porter.html,48,337,"png 2x"" data-file-width=""196"" data-file-height=""196"" />&#160;This"
./wiki/William_Henry_Porter.html,88,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/William_Henry_Porter.html,171,1031,"ase""><a href=""https://www.wikidata.org/wiki/Q19867883"" title=""Lin"
./wiki/William_Henry_Porter.html,171,1081,"883"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/William_Henry_Porter.html,171,1125,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/William_Henry_Porter.html,188,124,"ink""><a href=""https://www.wikidata.org/wiki/Q19867883#sitelinks-w"
./wiki/Clive_Brown_(footballer).html,146,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Clive_Brown_(footballer).html,229,1047,"ase""><a href=""https://www.wikidata.org/wiki/Q19518732"" title=""Lin"
./wiki/Clive_Brown_(footballer).html,229,1097,"732"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Clive_Brown_(footballer).html,229,1141,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Clive_Brown_(footballer).html,246,124,"ink""><a href=""https://www.wikidata.org/wiki/Q19518732#sitelinks-w"
./wiki/Blick_nach_Rechts.html,43,102,"><table class=""plainlinks metadata ambox ambox-content ambox-Refi"
./wiki/Blick_nach_Rechts.html,46,441,"Question_book-new.svg.png 2x"" data-file-width=""512"" data-file-hei"
./wiki/Blick_nach_Rechts.html,46,463,"png 2x"" data-file-width=""512"" data-file-height=""399"" /></a></div>"
./wiki/Blick_nach_Rechts.html,134,20,"<p>(Central journal database of Germany)</p>
"
./wiki/Blick_nach_Rechts.html,170,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
./wiki/Blick_nach_Rechts.html,253,1019,"ase""><a href=""https://www.wikidata.org/wiki/Q883995"" title=""Link "
./wiki/Blick_nach_Rechts.html,253,1067,"995"" title=""Link to connected data repository item [g]"" accesskey"
./wiki/Blick_nach_Rechts.html,253,1111,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite""><"
./wiki/Blick_nach_Rechts.html,270,125,"ink""><a href=""https://www.wikidata.org/wiki/Q883995#sitelinks-wik"
./wiki/Central_District_(Rezvanshahr_County).html,6,523,"rticles missing geocoordinate data"",""All articles needing coordin"
./wiki/Central_District_(Rezvanshahr_County).html,50,37,"n id=""coordinates"" class=""metadata coord-missing""></span></p>
"
./wiki/Central_District_(Rezvanshahr_County).html,62,522,"46px-Flag_of_Iran.svg.png 2x"" data-file-width=""630"" data-file-hei"
./wiki/Central_District_(Rezvanshahr_County).html,62,544,"png 2x"" data-file-width=""630"" data-file-height=""360"" /></a></span"
./wiki/Central_District_(Rezvanshahr_County).html,303,18,"<table class=""metadata plainlinks stub"" role=""present"
./wiki/Central_District_(Rezvanshahr_County).html,305,376,"an.png/65px-IranGilan.png 2x"" data-file-width=""879"" data-file-hei"
./wiki/Central_District_(Rezvanshahr_County).html,305,398,"png 2x"" data-file-width=""879"" data-file-height=""813"" /></a></td>
"
./wiki/Central_District_(Rezvanshahr_County).html,354,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-nor"
